id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,LINKE,Politik,Deutschland
cs,Constanze Stelzenmüller,nA,Wissenschaft,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,nA,Wissenschaft,Deutschland
lm,Ljudmyla Melnyk,nA,Wissenschaft,Deutschland
kd,Kristina Dunz,nA,Medien,Deutschland
el,Egils Levtis,nA,Politik,Lettland
ab,Annalena Baerbock,GRÜNE,Politik,Deutschland
ft,Franz Timmermans,nA,Politik,Niederlnade
rh,Rober Habeck,GRÜNE,Politik,Deutschland
cm,Claudia Major,nA,Wissenschaft,Deutschland
kp, Katja Petrwoskaja,nA,Wissenschaft,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,nA,nA,nA
501,Folge 501,nA,nA,nA
502,Folge 502,nA,nA,nA
503,Folge 503,nA,nA,nA
CDU,CDU,Partei,Politik,Deutschland
SPD,SPD,Partei,Politik,Deutschland
FDP,FDP,Partei,Politik,Deutschland
GRÜNE,GRÜNE,Partei,Politik,Deutschland
LINKE,LINKE,Partei,Politik,deutschland
